"I recommend this product","Polecam ten produkt"
"with %1 stars | ","z %1 gwiazdkami | "
"Show All","Pokaż wszystko"
"Advanced Product Reviews Coupon for %1","Zaawansowany kupon recenzji produktów dla %1"
"It will take only a few minutes, just click the 'Leave a review' button below.<br>To make the process more pleasant we are happy to grant you a discount coupon code, which can already be used for your next purchase. Here it is: %1 (%2).","Zajmie to tylko kilka minut, po prostu kliknij przycisk „Zostaw recenzję” poniżej. <br> Aby uczynić ten proces przyjemniejszym, z przyjemnością przyznajemy Ci kod kuponu rabatowego, który można już wykorzystać przy następnym zakupie. Oto ona: %1 (%2)."
"It will take only a few minutes, just click the 'Leave a review' button below.","Zajmie to tylko kilka minut, po prostu kliknij przycisk „Zostaw opinię” poniżej."
"It will take only a few minutes, just click the 'Leave a review' button below. And please kindly keep in mind, that you will receive a discount coupon after your review is approved.","Zajmie to tylko kilka minut, po prostu kliknij przycisk „Zostaw opinię” poniżej. Pamiętaj też, że po zatwierdzeniu recenzji otrzymasz kupon rabatowy."
"please kindly keep in mind that it will expire in %1 days","pamiętaj, że wygaśnie za %1 dni"
"please keep in mind that it expires today","pamiętaj, że wygasa dzisiaj"
"\r\nError when deleting rule #%s : %s","\r\nBłąd podczas usuwania reguły #%s : %s"
"Advanced Product Reviews Coupon for %","Zaawansowany kupon recenzji produktów dla %"
"We can`t find reminder data to send email","Nie możemy znaleźć danych przypomnienia do wysłania e-maila"
"Waiting for Sending","Czekam na wysłanie"
"Sent Successfully","Wysłano pomyślnie"
"Sending Failed","Wysyłanie nie powiodło się"
"Canceled","Anulowany"
"Email was not sent. Customer was unsubscribed.","Email nie został wysłany. Klient zrezygnował z subskrypcji."
"Email was not sent. Customer belongs to Customer Group disabled in Review Reminder settings.","Email nie został wysłany. Klient należy do grupy klientów wyłączonej w ustawieniach przypomnienia o recenzji."
"Recent","Niedawne"
"Random","Losowe"
"Unable to save comment with ID %1. Error: %2","Nie można zapisać komentarza z identyfikatorem %1. Błądr: %2"
"Unable to save new comment. Error: %1","Nie można zapisać nowego komentarza. Błąd: %1"
"Comment with specified ID ""%1"" not found.","Comment with specified ID ""%1"" not found."
"Unable to remove comment with ID %1. Error: %2","Unable to remove comment with ID %1. Error: %2"
"Unable to remove comment. Error: %1","Unable to remove comment. Error: %1"
"Unable to save image with ID %1. Error: %2","Unable to save image with ID %1. Error: %2"
"Unable to save new image. Error: %1","Unable to save new image. Error: %1"
"Rule with specified ID ""%1"" not found.","Rule with specified ID ""%1"" not found."
"Unable to remove image with ID %1. Error: %2","Unable to remove image with ID %1. Error: %2"
"Unable to remove image. Error: %1","Unable to remove image. Error: %1"
"Unable to save reminder item with ID %1. Error: %2","Unable to save reminder item with ID %1. Error: %2"
"Unable to save new reminder item. Error: %1","Unable to save new reminder item. Error: %1"
"Reminder item with specified ID ""%1"" not found.","Reminder item with specified ID ""%1"" not found."
"Unable to remove reminder item with ID %1. Error: %2","Unable to remove reminder item with ID %1. Error: %2"
"Unable to remove reminder item. Error: %1","Unable to remove reminder item. Error: %1"
"Unable to save unsubscribe with ID %1. Error: %2","Unable to save unsubscribe with ID %1. Error: %2"
"Unable to save new unsubscribe. Error: %1","Unable to save new unsubscribe. Error: %1"
"Unsubscribe with specified ID ""%1"" not found.","Unsubscribe with specified ID ""%1"" not found."
"Unable to remove unsubscribe with ID %1. Error: %2","Unable to remove unsubscribe with ID %1. Error: %2"
"Unable to remove unsubscribe. Error: %1","Unable to remove unsubscribe. Error: %1"
"Unable to save vote with ID %1. Error: %2","Unable to save vote with ID %1. Error: %2"
"Unable to save new vote. Error: %1","Unable to save new vote. Error: %1"
"Vote with specified ID ""%1"" not found.","Vote with specified ID ""%1"" not found."
"Unable to remove vote with ID %1. Error: %2","Unable to remove vote with ID %1. Error: %2"
"Unable to remove vote. Error: %1","Unable to remove vote. Error: %1"
"%1 (Default)","%1(Domyślny)"
"No","Nie"
"Yes (Instantly)","Tak (natychmiast)"
"Yes (Daily)","Tak (codziennie)"
"Pending","W oczekiwaniu"
"Approved","Zatwierdzony"
"Rejected","Odrzucony"
"Percent of product price discount","Procent rabatu na cenę produktu"
"Fixed amount discount","Rabat kwotowy"
"Fixed amount discount for whole cart","Rabat kwotowy na cały koszyk"
"Verified Buyers","Zweryfikowani kupujący"
"Recommended","Rekomendowany"
"With images","Z obrazami"
"Once per product","Raz na produkt"
"Once per customer","Raz na klienta"
"Once per order","Raz na zamówienie"
"Not Logged In","Nie zalogowany"
"Yes","Tak"
"Date","Data"
"Rating","Ocena"
"Helpfulness","Przydatność"
"Review Grid Template","Review Grid Template"
"Products Images and Names Template (vert.)","Szablon zdjęć i nazw produktów (wer.)"
"Use Default Config","Użyj domyślnej konfiguracji"
"Admin Answer Section","Sekcja odpowiedzi administratora"
"Answer","Odpowiedź"
"Send to Customer","Wyślij do klienta"
"Show Admin's Comment in Customer Account Only","Pokaż komentarz administratora tylko na koncie klienta"
"Customer Images","Obrazy klientów"
"Add new images","Dodaj nowe obrazy"
"A client who already purchased the product.","Klient, który już kupił produkt."
"Advantages","Zalety"
"like_about","like_about"
"Disadvantages","Wady"
"not_like_about","not_like_about"
"%1 people found this helpful; %2 found this unhelpful.","%1 osób uznało to za pomocne; %2 osób uznało to za nieprzydatne."
"people found this helpful", "osób uznało to za pomocne"
"Approve for All Store Views","Zatwierdź dla wszystkich widoków w sklepie"
"Are you sure?","Jesteś pewny?"
"Add your photo","Dodaj swoje zdjęcie"
"GDPR","RODO"
"Email Address","Adres e-mail"
"Please agree to the Privacy Policy","Zaakceptuj Politykę prywatności"
"Please enter review images.","Wprowadź obrazy recenzji."
"An error occurred while uploading image.","Wystąpił błąd podczas przesyłania obrazu."
"please kindly keep in mind that it will expire in 5 days","pamiętaj, że wygaśnie za 5 dni"
"Review image","Obraz recenzji"
"Remove image","Usuń obraz"
"Remove","Usuń"
"Sorting Order","Kolejność sortowania"
"Drag and drop sorting options in the order you want them to appear for the customers.","Przeciągnij i upuść opcje sortowania w kolejności, w jakiej mają być wyświetlane klientom."
"First option will be automatically considered as default.","Pierwsza opcja zostanie automatycznie uznana za domyślną."
"Leave a review","Zostaw recenzję"
"Author: ","Autor: "
"Title: ","Tytuł: "
"Review: ","Opinia: "
"View","Widok"
"Showing","Wyświetlone: "
"comments","komentarze"
"Leave your comment","Zostaw swój komentarz"
"Nickname*","Pseudonim*"
"Email*","E-mail*"
"Comment*","Komentarz*"
"Talk about why you like this review, or ask a question.","Opowiedz, dlaczego podoba Ci się ta recenzja, lub zadaj pytanie."
"Add Comment","Dodaj komentarz"
"Response from Store","Odpowiedź ze sklepu"
"Was this review helpful?","Czy recenzja była pomocna?"
"%1 people found this helpful","%1 oceniający(ch) uznało to za pomocne"
"people found this helpful","oceniający(ch) uznało to za pomocne"
"Customer Reviews","Opinie klientów"
"Write a review","Napisz recenzję"
"Share your thoughts with other customers","Podziel się swoją opinią z innymi klientami"
"Top customer reviews","Najlepsze recenzje klientów"
"%1 stars","%1 gwiazdki"
"%1 stars ","%1 gwiazdek"
"%1 star","%1 gwiazdka"
"Response from store","Odpowiedź ze sklepu"
"Reply","Odpowiedź"
"No reviews","Brak recenzji"
"Sort By","Sortuj wg"
"Set Ascending Direction","Ustaw kierunek rosnący"
"Set Descending Direction","Ustaw kierunek malejący"
"reviews","opinie"
"More info","Więcej informacji"
"of customers recommend this product","klientów poleca ten produkt"
" star"," gwiazdka"
" stars"," gwiazdki"
" stars "," gwiazdek"
"Previous","Poprzednia"
"Next","Następna"
"See All Reviews","Zobacz wszystkie recenzje"
"Review Now","Oceń teraz"
"Review by ","Oceniony przez "
"See all reviews","Zobacz wszystkie recenzje"
"Email alert for new reviews","Powiadomienie e-mail o nowych recenzjach"
"Hello,","Witaj,"
"This is an automatic notification about new review(s) made. ","To jest automatyczne powiadomienie o dokonanych nowych recenzjach. "
"Reviews:","Opinie:"
"Thank you!","Dziękuję!"
"Hello","Witaj"
"You have a new comment on your product review ","Masz nowy komentarz do recenzji produktu "
"Your review:","Twoja opinia:"
"Comment:","Komentarz:"
"Best Regards","Z poważaniem"
"Team","Zespół"
"Do not receive similar emails","Nie otrzymuj podobnych e-maili"
"Thank you for the feedback left! We’d love to inform you that the review was approved successfully.","Dziękujemy za pozostawioną opinię! Z przyjemnością informujemy, że recenzja została pomyślnie zatwierdzona."
"Here is the promised coupon code: ","Oto obiecany kod kuponu: "
"This discount coupon can be used for your next purchase with us (","Ten kupon rabatowy można wykorzystać przy następnym zakupie u nas ("
"Hope to see you soon!","Mamy nadzieję, że zobaczymy się wkrótce!"
"You have a new response on your product review","Masz nową odpowiedź w sprawie recenzji produktu"
"Admin answer:","Odpowiedź administratora:"
"Thank you for your recent purchase with ","Dziękujemy za ostatni zakup w sklepie "
"We’d love to know your thoughts on the product(s) you've bought! So please share your unique experience with other shoppers.","Chętnie poznamy Twoją opinię na temat kupionych przez Ciebie produktów! Podziel się więc swoim wyjątkowym doświadczeniem z innymi kupującymi."
"We really appreciate your feedback and hope to see you soon!","Doceniamy Twoją opinię i mamy nadzieję, że wkrótce się zobaczymy!"
"Show more","Pokaż więcej"
"Show less","Pokaż mniej"
"Amasty Advanced Review Reminder","Amasty Advanced Review Reminder"
"Amasty Advanced Review Comments","Amasty Advanced Review Comments"
"Review Comments","Komentarze do recenzji"
"Advanced Reviews","Recenzje zaawansowane"
"Information","Informacje"
"General settings","Ustawienia główne"
"Enable 'Helpful' Control","Włącz opcję 'Pomocne' opinie"
"Set 'Yes' to allow people specify if they found the review helpful or unhelpful.","Ustaw „Tak”, aby umożliwić użytkownikom określenie, czy opinia była dla nich pomocna, czy nieprzydatna."
"Enable `I recommend this product`","Włącz opcję `Polecam ten produkt`"
"Set 'Yes' to allow buyers check `I recommend this product` checkbox and show this recommendation in review.","Ustaw `Tak`, aby kupujący mogli zaznaczyć pole wyboru `Polecam ten produkt` i pokazać tę rekomendację w recenzji."
"Enable Pros and Cons","Włącz zalety i wady"
"Set 'Yes' to allow buyers to add product advantages and disadvantages.","Ustaw 'Tak', aby kupujący mogli dodawać zalety i wady produktu."
"Allow Admin to Comment on Review","Zezwalaj administratorowi na komentowanie recenzji"
"Set ‘Yes’ to display admin’s replies only for the customer under My Product Reviews tab","Ustaw ’Tak’, aby odpowiedzi administratora były wyświetlane tylko dla klienta na karcie Moje recenzje produktów"
"Allow Guests to Submit Review","Zezwalaj gościom na przesyłanie recenzji"
"Set 'No' to allow only logged in users to leave a review.","Ustaw 'Nie', aby pozwolić tylko zalogowanym użytkownikom na pozostawienie recenzji."
"Show 'Email' Field for Guests","Pokaż pole 'E-mail' dla gości"
"Set' Yes' to enable email field for guest to contact them later","Ustaw 'Tak', aby włączyć pole e-mail dla gości, aby mogli się z nimi później skontaktować"
"Enabled GDPR Consent","Włącz zgodę na RODO"
"Сonsent Text","Tekst zgody"
"Enable Sorting By","Włącz sortowanie według"
"Press CTRL+mouse to select multiple values.","Naciśnij klawisz CTRL + mysz, aby wybrać wiele wartości."
"Enable Filtering By","Włącz filtrowanie według"
"Reviews per Page","Recenzji na stronę"
"Images","Zdjęcia"
"Allow Users to Upload Images","Zezwól użytkownikom na przesyłanie obrazów"
"Image Field is Required","Pole obrazu jest wymagane"
"Review Image Width","Szerokość obrazu w recenzji"
"Images to Show","Obrazy do pokazania"
"If image number exceeds this limit, a line of images turns into a slider. Mobile version has slider enabled by default. Set to 0 disable slider on both mobile and desktop.","Jeśli liczba obrazów przekracza ten limit, linia obrazów zmienia się w suwak. Wersja mobilna ma domyślnie włączony suwak. Ustaw na 0 suwak wyłączania na urządzeniach mobilnych i komputerach."
"Review Commenting","Komentarze recenzji"
"Enable","Włączone"
"Set 'Yes' to allow your customers comment on already approved reviews.","Ustaw 'Tak', aby umożliwić klientom komentowanie już zatwierdzonych recenzji."
"Allow Guests to Comment on Review","Pozwól gościom komentować opinie"
"Set 'No' to allow only logged in users to leave a comment.","Ustaw 'Nie', aby tylko zalogowani użytkownicy mogli zostawić komentarz."
"Automatically Approve Comments","Automatycznie zatwierdzaj komentarze"
"Set 'No' to approve each comment manually from admin panel.","Ustaw 'Nie', aby zatwierdzać każdy komentarz ręcznie z panelu administratora."
"Email Sender","Nadawca e-mailar"
"Email Template","Szablon Email"
"Notify Customer about Admin Reply","Powiadom klienta o odpowiedzi administratora"
"Enable Review Reminder","Włącz przypomnienie o recenzji"
"Order Status","Status zamówienia"
"Please specify the Order Status for Review Reminder to be sent after. It will work based on Order Creation Date If the Order Status is not specified.","Określ status zamówienia, aby przypomnienie o przeglądzie zostało wysłane później. Będzie działać w oparciu o datę utworzenia zamówienia, jeśli nie określono statusu zamówienia."
"Disable for Customer Group","Wyłącz dla grupy klientów"
"Customers from selected Customer Groups won’t receive the reminder.","Klienci z wybranych grup klientów nie otrzymają przypomnienia."
"Send Reminders","Wyślij przypomnienia"
"Admin is able to send Reminder Emails manually from Review Reminder grid without limit","Administrator może ręcznie wysyłać wiadomości e-mail z przypomnieniami z siatki przypomnienia o recenzji bez ograniczeń"
"Send Reminder Email after, Day(s)","Wyślij wiadomość e-mail z przypomnieniem po, dniach"
"Test Email","E-mail testowy"
"Send BCC of Reminders to","Wyślij UDW przypomnień do"
"Comma-separated Emails, no spaces","E-maile oddzielone przecinkami, bez spacji"
"Discount Coupons","Kupony zniżkowe"
"Enabled","Włączone"
"Publish Review to Activate Coupon","Opublikuj recenzję, aby aktywować kupon"
"Allow to use coupon code only after review is published and approved.","Zezwalaj na użycie kodu kuponu dopiero po opublikowaniu i zatwierdzeniu recenzji."
"Discount Type","Typ rabatu"
"Discount Amount","Kwota rabatu"
"Expire Coupon in (days)","Wygaś kupon za (dni)"
"Note: if set to 0, coupon can be used only ‘today’ (i.e., the day of coupon receipt).","Uwaga: jeśli ustawione na 0, kuponu można użyć tylko „dzisiaj” (tj. W dniu otrzymania kuponu)."
"Coupon Uses","Wykorzystanie kuponu"
"Note: if set to 0, the coupon can be used unlimited amount of times.","Uwaga: jeśli jest ustawiony na 0, kupon można wykorzystać nieograniczoną liczbę razy."
"Uses per Customer","Zastosowania na klienta"
"Usage limit enforced for logged in customers only.","Limit użycia wymuszony tylko dla zalogowanych klientów."
"Apply for Customer Group Only","Złóż wniosek tylko dla grupy klientów"
"The setting covers only coupon application. Generated coupon will be sent to all customer groups, but only chosen customer groups will be able to apply it. Please kindly keep that in mind and modify the email template in accordance to the setting configuration to avoid customers' confusion.","To ustawienie obejmuje tylko wniosek o kupon. Wygenerowany kupon zostanie wysłany do wszystkich grup klientów, ale tylko wybrane grupy klientów będą mogły go zastosować. Należy o tym pamiętać i zmodyfikować szablon wiadomości e-mail zgodnie z konfiguracją ustawień, aby uniknąć dezorientacji klientów."
"Min Order Amount","Minimalna kwota zamówienia"
"Admin Notifications","Powiadomienia administratora"
"Send Email Reports for New Reviews","Wysyłaj raporty e-mailem o nowych recenzjach"
"Email Template to Notify Admin","Szablon wiadomości e-mail do powiadomienia administratora"
"Admin Email Address","Adres e-mail administratora"
"Comma separated Emails, no spaces.","E-maile oddzielone przecinkami, bez spacji."
"Amasty Advanced Reviews: Product Reviews","Amasty Advanced Reviews: Product Reviews"
"Powered by Amasty Advanced Reviews extension.","Powered by Amasty Advanced Reviews extension."
"Header","Nagłówek"
"Display Page Control","Wyświetl kontrolę strony"
"Number of Products per Page","Liczba produktów na stronie"
"Number of Reviews to Show","Liczba recenzji do pokazania"
"The number of reviews is set to 10 by default.","Liczba recenzji jest domyślnie ustawiona na 10."
"Reviews from Current Category Only","Recenzje tylko z bieżącej kategorii"
"Use on Categories.","Użyj w kategoriach."
"Reviews of Products which belong to the Same Categories Only","Recenzje produktów, które należą tylko do tej samej kategorii"
"Use on Products.","Użyj w produktach."
"Reviews Type","Typ recenzji"
"Do not Display Reviews with Average Rating less than","Nie wyświetlaj recenzji o średniej ocenie niższej niż"
"Enable Slider","Włącz slider"
"Template","Szablon"
"Amasty Advanced Reviews: Product's Review Summary","Amasty Advanced Reviews: Product's Review Summary"
"Product","Produkt"
"Select Product...","Wybierz produkt..."
"Leave empty to show all product’s reviews.","Pozostaw puste, aby wyświetlić wszystkie recenzje produktów."
"Show Reviews as","Pokaż recenzje jako"
"List","Lista"
"Slider","Slider"
"Number of Reviews per Page","Liczba recenzji na stronie"
"Comment","Komentarz"
"Back","Powrót"
"General","Ogólne"
"Name","Imię"
"E-Mail","E-Mail"
"Status","Status"
"Approve","Zatwierdź"
"Are you sure you want to approve?","Czy na pewno chcesz zatwierdzić?"
"Inactivate","Niekatywny"
"ID","ID"
"Review","Opinia"
"Nickname","Pseudonim"
"Email","E-mail"
"Created At","Utworzono"
"Updated At","Zaktualizowano"
"Disapprove","Cofnięcie zatwierdzenia"
"Edit","Edycja"
"Delete items","Usuń elementy"
"Are you sure you wan't to delete selected items?","Czy na pewno nie chcesz usunąć wybranych elementów?"
"Cancel","Anuluj"
"Cancel items","Anuluj pozycje"
"Are you sure you wan't to cancel selected items?","Czy na pewno nie chcesz anulować wybranych pozycji?"
"Send","Wyślij"
"Send Emails","Wyślij emaile"
"Are you sure you wan't to Send selected items?","Czy na pewno chcesz wysłać wybrane elementy?"
"Send Test Email","Wyślij testową wiadomość e-mail"
"Send Test Emails","Wyślij testowe wiadomości e-mail"
"Order #","Zamówienie #"
"Product Names","Nazwy produktów"
"Store View","Widok sklepu"
"Date Created","Data utworzenia"
"Date of Sending","Data wysłania"
"More info", "Więcej informacji"
"Less info", "Mniej informacji"

"---Amasty_Rma---", ""
"Dear","Witaj"
"RMA Request","Zgłoszenie zwrotu"
"has been created","zostało utworzone"
"RMA ID:","ID zwrotu:"
"Status:","Status:"
"Order ID:","ID zamówienia"
"Created At:", "Utworzono:"
"items to return", "produkty do zwrotu"
"status of your", "status Twojego"
"has been changed", "zostało zmienione"
"Current status:", "Aktualny status:"
"Note:", "Uwaga:"
"Return", "Zwrot"
"Returns", "Zwroty"
"You have placed no return request.", "Nie złożono żadnej prośby o zwrot."
"Create new return request", "Utwórz nowe żądanie zwrotu"
"Extra Fields:", "Dodatkowe pola:"
"Other Order Return", "Inne zwroty zamówienia"
"Choose Items", "Wybierz produkty"
"Reason", "Powód"
"Condition", "Stan"
"Resolution", "Decyzja"
"Return Qty", "Ilość do zwrotu"
"Cancel RMA", "Anuluj zwrot"
"Return Reason", "Powód zwrotu"
"Details", "Szczegóły"
"Please choose", "Proszę wybrać"
"Customer Address", "Adres klienta"
"Delivered","Dostarczony"
"Chat", "Czat"
"Store pays for Shipping.", "Sklep płaci za wysyłkę"
"You should pay for Shipping.", "Powinieneś zapłacić za wysyłkę."
"Item Condition", "Stan produktu"
"This product wasn't shipped.", "Ten produkt nie został wysłany."
"This product is already refunded.", "Ten produkt został już zwrócony."
"Rma request for this product is already created. Existing Return(s):", "Żądanie zwrotu dla tego produktu zostało już utworzone. Istniejące zwroty:"
"The return period expired.", "Okres zwrotu minął."
" If you have questions, please contact the store administrator:", " W przypadku pytań prosimy o kontakt z administratorem sklepu:"
"The return for this product can't be processed.", "Nie można zrealizować zwrotu za ten produkt."
"This product was on sale.", "Ten produkt był na wyprzedaży."
"This product cannot be returned.", "Ten produkt nie podlega zwrotowi."
"Please do not forget to take a picture of the goods from all sides. Request without such photos may not be approved", "Nie zapomnij zrobić zdjęcia towaru ze wszystkich stron. Żądanie bez takich zdjęć może nie zostać zatwierdzone"
" Please, describe the issue in details.", " Prosimy o szczegółowe opisanie problemu."
"Attach File", "Dołącz plik"
"Submit Request", "Wyślij żądanie"
"Cancel", "Anuluj"
"Items were not selected", "Elementy nie zostały wybrane"
"Please Select Reason for", "Wybierz przyczynę dla"
"Please Select Condition for", "Wybierz stan dla"
"Please Select Resolution for", "Wybierz decyzję dla"
"Please accept the Return Policy", "Zaakceptuj zasady zwrotów"
"You are supposed to cover shipping costs", "Musisz pokryć koszty wysyłki"
"Store is supposed to cover shipping costs", "Sklep ma pokryć koszty wysyłki"
"Item Returns", "Zwroty produktu"
"This item can be returned", "Można zwrócić"
"Sorry, the item can\'t be returned", "Przepraszamy, produkt nie może zostać zwrócony"
"%1 period","%1 okres"
"%1 days","%1 dni"
"My Returns Requests", "Moje żądania zwrotów"
"Thank you for your feedback.", "Dziękujemy za twoją opinię."
"How do you rate the work of a manager?","Jak oceniasz pracę managera?"
"RMA Details", "Szczegóły zwrotu"
"You can also leave a comment.", "Możesz też zostawić komentarz."
"New Return for Order #%1","Nowy zwrot dla zamówienia #%1"
"Customer name","Nazwa klienta"
"Customer name:","Nazwa klienta"
"Return Resolution","Oczekiwanie"
"Start of conversation with customer","Rozpocznij rozmowę z klientem"
"Start of conversation with manager","Rozpocznij rozmowę z managerem"
"Product Details", "Szczegóły produktu"
"Return Details", "Szczegółu zwrotu"
"Items Conditions", "Stan produktów"
"Return Request successfully closed.", "Żądanie zwrotu zostało pomyślnie zamknięte."
"New RMA Request", "Nowe żądanie zwrotu"
", your", ", twoje"
"RMA you have new message from manager", "Twoje zgłoszenie zwrotu ma nową wiadomość od managera"
"manager sent new message.", "manager wysłał nową wiadomość."
"To see new messages", "Aby zobaczyć nową wiadomość"
"click here", "kliknij tutaj"
"RMA status changed", "Zmiana statusu w żądaniu zwrotu"
"I have read and accept the %1Return Policy%2","Przeczytałem i akceptuję %1Zasady zwrotów%2"
"Returns: how it works","Zwrot: co teraz?"
"Please Select", "Proszę wybrać"
"Please select", "Proszę wybrać"
"Remove", "Usuń"

"---Swissup_Ajaxpro---", ""
"Ajaxpro", "Koszyk Ajax Pro"

"---Swissup_Ajaxsearch---", ""
"Ajaxsearch", "Wyszukiwanie Ajax"

"---Swissup_Amp---", ""
"Accelerated Mobile Pages","Przyspieszone strony mobilne (AMP)"

"---Swissup_Askit---", ""
"Askit","Pytanie o produkt"
"Recent Answers", "Ostatnie odpowiedzi"
"Askit Questions","Pytania o produkt"
"Answer", "Odpowiedź"
"Askit Recent Answers","Ostatnie odpowiedzi"
